Timestamp,,Sensor1,Sensor2,,,,
18:50:55,5.496,36,1,,,,
18:50:55,5.504,1,4,,,,
18:50:55,5.512,36,9,,,,
18:50:55,5.52,25,121,,,,
18:50:55,5.528,4,225,,,,
18:50:55,5.536,25,324,,,,
18:50:55,5.544,225,256,,,,
18:50:55,5.552,484,1,,,,
18:50:55,5.56,256,144,,,,
18:50:55,5.568,25,100,,,,
18:50:55,5.576,9,36,,,,
18:50:55,5.584,0,0,,,,
18:50:55,5.592,1,9,,,,
18:50:55,5.6,16,36,,,,
18:50:55,5.608,1,121,,,,
18:50:55,5.616,4,9,,,,
18:50:55,5.624,25,121,,,,
18:50:55,5.632,121,100,,,,
18:50:55,5.64,4,81,,,,
18:50:55,5.648,16,196,,,,
18:50:55,5.656,0,64,,,,
18:50:55,5.664,1,0,,,,
18:50:55,5.672,25,16,,,,
18:50:55,5.68,100,16,,,,
18:50:55,5.688,25,0,,,,
18:50:55,5.696,0,16,,,,
18:50:55,5.704,4,16,,,,
18:50:55,5.712,4,0,,,,
18:50:55,5.72,100,4,,,,
18:50:55,5.728,289,1,,,,
18:50:55,5.736,9,16,,,,
18:50:55,5.744,4,144,,,,
18:50:55,5.752,1,81,,,,
18:50:55,5.76,100,121,,,,
18:50:55,5.768,441,169,,,,
18:50:55,5.776,49,25,,,,
18:50:55,5.784,1,0,,,,
18:50:55,5.792,4,4,,,,
18:50:55,5.8,81,16,,,,
18:50:55,5.808,625,16,,,,
18:50:55,5.816,196,49,,,,
18:50:55,5.824,4,16,,,,
18:50:55,5.832,1,121,,,,
18:50:55,5.84,4,100,,,,
18:50:55,5.848,64,81,,,,
18:50:55,5.856,25,1,,,,
18:50:56,5.864,64,16,,,,
18:50:56,5.872,400,0,,,,
18:50:56,5.88,400,0,,,,
18:50:56,5.888,225,0,,,,
18:50:56,5.896,225,9,,,,
18:50:56,5.904,400,676,,,,
18:50:56,5.912,289,1156,,,,
18:50:56,5.92,64,169,,,,
18:50:56,5.928,324,49,,,,
18:50:56,5.936,841,225,,,,
18:50:56,5.944,729,256,,,,
18:50:56,5.952,25,100,,,,
18:50:56,5.96,729,0,,,,
18:50:56,5.968,289,49,,,,
18:50:56,5.976,0,1,,,,
18:50:56,5.984,121,196,,,,
18:50:56,5.992,64,361,,,,
18:50:56,6,256,49,,,,
18:50:56,6.008,81,100,,,,
18:50:56,6.016,1024,0,,,,
18:50:56,6.024,324,0,,,,
18:50:56,6.032,100,16,,,,
18:50:56,6.04,9,16,,,,
18:50:56,6.048,100,64,,,,
18:50:56,6.056,400,36,,,,
18:50:56,6.064,225,16,,,,
18:50:56,6.072,25,0,,,,
18:50:56,6.08,121,0,,,,
18:50:56,6.088,196,9,,,,
18:50:56,6.096,49,25,,,,
18:50:56,6.104,0,25,,,,
18:50:56,6.112,324,1,,,,
18:50:56,6.12,256,100,,,,
18:50:56,6.128,36,49,,,,
18:50:56,6.136,0,1,,,,
18:50:56,6.144,4,81,,,,
18:50:56,6.152,169,144,,,,
18:50:56,6.16,1444,36,,,,
18:50:56,6.168,196,4,,,,
18:50:56,6.176,361,0,,,,
18:50:56,6.184,144,0,,,,
18:50:56,6.192,121,49,,,,
18:50:56,6.2,900,25,,,,
18:50:56,6.208,784,324,,,,
18:50:56,6.216,36,529,,,,
18:50:56,6.224,400,1,,,,
18:50:56,6.232,324,225,,,,
18:50:56,6.24,169,196,,,,
18:50:56,6.248,256,64,,,,
18:50:56,6.256,64,4,,,,
18:50:56,6.264,4,49,,,,
18:50:56,6.272,0,81,,,,
18:50:56,6.28,1225,25,,,,
18:50:56,6.288,1764,9,,,,
18:50:56,6.296,1,49,,,,
18:50:56,6.304,49,361,,,,
